,Date,Close
0,2015-01-01,2058.9
1,2015-01-02,2058.2
2,2015-01-05,2020.58
3,2015-01-06,2002.61
4,2015-01-07,2025.9
5,2015-01-08,2062.14
6,2015-01-09,2044.81
7,2015-01-12,2028.26
8,2015-01-13,2023.03
9,2015-01-14,2011.27
10,2015-01-15,1992.67
11,2015-01-16,2019.42
12,2015-01-19,2019.42
13,2015-01-20,2022.55
14,2015-01-21,2032.12
15,2015-01-22,2063.15
16,2015-01-23,2051.82
17,2015-01-26,2057.09
18,2015-01-27,2029.55
19,2015-01-28,2002.16
20,2015-01-29,2021.25
21,2015-01-30,1994.99
22,2015-02-02,2020.85
23,2015-02-03,2050.03
24,2015-02-04,2041.51
25,2015-02-05,2062.52
26,2015-02-06,2055.47
27,2015-02-09,2046.74
28,2015-02-10,2068.59
29,2015-02-11,2068.53
30,2015-02-12,2088.48
31,2015-02-13,2096.99
32,2015-02-16,2096.99
33,2015-02-17,2100.34
34,2015-02-18,2099.68
35,2015-02-19,2097.45
36,2015-02-20,2110.3
37,2015-02-23,2109.66
38,2015-02-24,2115.48
39,2015-02-25,2113.86
40,2015-02-26,2110.74
41,2015-02-27,2104.5
42,2015-03-02,2117.39
43,2015-03-03,2107.78
44,2015-03-04,2098.53
45,2015-03-05,2101.04
46,2015-03-06,2071.26
47,2015-03-09,2079.43
48,2015-03-10,2044.16
49,2015-03-11,2040.24
50,2015-03-12,2065.95
51,2015-03-13,2053.4
52,2015-03-16,2081.19
53,2015-03-17,2074.28
54,2015-03-18,2099.5
55,2015-03-19,2089.27
56,2015-03-20,2108.1
57,2015-03-23,2104.42
58,2015-03-24,2091.5
59,2015-03-25,2061.05
60,2015-03-26,2056.15
61,2015-03-27,2061.02
62,2015-03-30,2086.24
63,2015-03-31,2067.89
64,2015-04-01,2059.69
65,2015-04-02,2066.96
66,2015-04-03,2066.96
67,2015-04-06,2080.62
68,2015-04-07,2076.33
69,2015-04-08,2081.9
70,2015-04-09,2091.18
71,2015-04-10,2102.06
72,2015-04-13,2092.43
73,2015-04-14,2095.84
74,2015-04-15,2106.63
75,2015-04-16,2104.99
76,2015-04-17,2081.18
77,2015-04-20,2100.4
78,2015-04-21,2097.29
79,2015-04-22,2107.96
80,2015-04-23,2112.93
81,2015-04-24,2117.69
82,2015-04-27,2108.92
83,2015-04-28,2114.76
84,2015-04-29,2106.85
85,2015-04-30,2085.51
86,2015-05-01,2108.29
87,2015-05-04,2114.49
88,2015-05-05,2089.46
89,2015-05-06,2080.15
90,2015-05-07,2088.0
91,2015-05-08,2116.1
92,2015-05-11,2105.33
93,2015-05-12,2099.12
