,Date,Close
0,2015-01-01,342.54
1,2015-01-02,341.33
2,2015-01-05,333.99
3,2015-01-06,331.61
4,2015-01-07,333.2
5,2015-01-08,342.35
6,2015-01-09,337.93
7,2015-01-12,339.87
8,2015-01-13,344.77
9,2015-01-14,339.67
10,2015-01-15,348.45
11,2015-01-16,352.4
12,2015-01-19,353.18
13,2015-01-20,355.96
14,2015-01-21,358.12
15,2015-01-22,364.05
16,2015-01-23,370.37
17,2015-01-26,372.39
18,2015-01-27,368.7
19,2015-01-28,369.08
20,2015-01-29,368.76
21,2015-01-30,367.05
22,2015-02-02,367.28
23,2015-02-03,370.28
24,2015-02-04,372.1
25,2015-02-05,372.51
26,2015-02-06,373.31
27,2015-02-09,370.55
28,2015-02-10,372.94
29,2015-02-11,372.04
30,2015-02-12,374.83
31,2015-02-13,377.07
32,2015-02-16,376.55
33,2015-02-17,377.02
34,2015-02-18,380.37
35,2015-02-19,381.41
36,2015-02-20,382.27
37,2015-02-23,385.08
38,2015-02-24,387.25
39,2015-02-25,386.76
40,2015-02-26,390.69
41,2015-02-27,392.21
42,2015-03-02,391.29
43,2015-03-03,387.68
44,2015-03-04,390.61
45,2015-03-05,393.78
46,2015-03-06,394.18
47,2015-03-09,393.19
48,2015-03-10,389.66
49,2015-03-11,395.48
50,2015-03-12,395.36
51,2015-03-13,396.61
52,2015-03-16,400.18
53,2015-03-17,397.33
54,2015-03-18,398.65
55,2015-03-19,400.83
56,2015-03-20,404.01
57,2015-03-23,401.24
58,2015-03-24,402.49
59,2015-03-25,397.95
60,2015-03-26,394.54
61,2015-03-27,395.54
62,2015-03-30,399.84
63,2015-03-31,397.3
64,2015-04-01,398.52
65,2015-04-02,397.8
66,2015-04-03,397.8
67,2015-04-06,397.8
68,2015-04-07,404.34
69,2015-04-08,404.66
70,2015-04-09,409.15
71,2015-04-10,412.93
72,2015-04-13,413.63
73,2015-04-14,411.7
74,2015-04-15,414.06
75,2015-04-16,410.93
76,2015-04-17,403.69
77,2015-04-20,406.87
78,2015-04-21,409.12
79,2015-04-22,408.99
80,2015-04-23,407.18
81,2015-04-24,408.42
82,2015-04-27,412.42
83,2015-04-28,406.28
84,2015-04-29,397.3
85,2015-04-30,395.79
86,2015-05-01,394.66
87,2015-05-04,396.82
88,2015-05-05,391.01
89,2015-05-06,388.68
90,2015-05-07,388.98
91,2015-05-08,400.16
92,2015-05-11,401.34
93,2015-05-12,396.09
94,2015-05-13,395.46
95,2015-05-14,397.99
96,2015-05-15,396.45
97,2015-05-18,398.09
98,2015-05-19,404.78
99,2015-05-20,406.42
100,2015-05-21,407.87
101,2015-05-22,407.74
102,2015-05-25,406.56
103,2015-05-26,403.61
104,2015-05-27,408.88
105,2015-05-28,406.83
106,2015-05-29,399.87
107,2015-06-01,400.57
108,2015-06-02,396.45
109,2015-06-03,395.93
110,2015-06-04,392.65
111,2015-06-05,389.0
112,2015-06-08,385.39
113,2015-06-09,383.87
114,2015-06-10,390.78
115,2015-06-11,393.0
116,2015-06-12,389.38
117,2015-06-15,383.02
118,2015-06-16,385.49
119,2015-06-17,383.74
120,2015-06-18,384.22
121,2015-06-19,385.59
122,2015-06-22,394.25
123,2015-06-23,398.83
124,2015-06-24,397.32
125,2015-06-25,396.39
126,2015-06-26,396.85
127,2015-06-29,386.17
128,2015-06-30,381.31
129,2015-07-01,387.07
130,2015-07-02,385.46
131,2015-07-03,383.42
132,2015-07-06,378.68
133,2015-07-07,372.74
134,2015-07-08,372.88
135,2015-07-09,381.06
136,2015-07-10,388.8
137,2015-07-13,396.46
138,2015-07-14,398.3
139,2015-07-15,400.03
140,2015-07-16,405.43
141,2015-07-17,405.68
142,2015-07-20,406.8
143,2015-07-21,402.66
144,2015-07-22,400.28
145,2015-07-23,398.1
146,2015-07-24,394.64
147,2015-07-27,385.91
148,2015-07-28,390.02
149,2015-07-29,394.01
150,2015-07-30,396.24
151,2015-07-31,396.37
152,2015-08-03,399.44
153,2015-08-04,398.75
154,2015-08-05,403.93
155,2015-08-06,400.7
156,2015-08-07,397.07
157,2015-08-10,399.82
158,2015-08-11,393.61
159,2015-08-12,382.99
160,2015-08-13,386.69
161,2015-08-14,386.24
162,2015-08-17,387.26
163,2015-08-18,388.13
164,2015-08-19,381.31
165,2015-08-20,373.44
166,2015-08-21,361.28
167,2015-08-24,342.01
168,2015-08-25,356.36
169,2015-08-26,350.14
170,2015-08-27,362.27
171,2015-08-28,363.28
172,2015-08-31,362.79
173,2015-09-01,352.89
174,2015-09-02,353.86
175,2015-09-03,362.24
176,2015-09-04,353.11
177,2015-09-07,354.81
178,2015-09-08,359.0
179,2015-09-09,363.77
180,2015-09-10,359.34
181,2015-09-11,355.72
182,2015-09-14,353.63
183,2015-09-15,356.43
184,2015-09-16,361.87
185,2015-09-17,361.21
186,2015-09-18,354.77
187,2015-09-21,357.83
188,2015-09-22,346.67
189,2015-09-23,346.97
190,2015-09-24,339.63
191,2015-09-25,349.28
192,2015-09-28,341.57
193,2015-09-29,339.23
194,2015-09-30,347.77
195,2015-10-01,346.23
196,2015-10-02,347.86
197,2015-10-05,358.33
198,2015-10-06,360.41
199,2015-10-07,360.93
200,2015-10-08,361.61
201,2015-10-09,362.82
202,2015-10-12,361.79
203,2015-10-13,358.47
204,2015-10-14,355.81
205,2015-10-15,360.99
206,2015-10-16,363.13
207,2015-10-19,364.25
208,2015-10-20,362.67
209,2015-10-21,362.64
210,2015-10-22,369.99
211,2015-10-23,377.36
212,2015-10-26,375.89
213,2015-10-27,371.88
214,2015-10-28,375.83
215,2015-10-29,375.7
216,2015-10-30,375.47
217,2015-11-02,376.75
218,2015-11-03,378.36
219,2015-11-04,380.28
220,2015-11-05,378.76
221,2015-11-06,379.95
222,2015-11-09,375.88
223,2015-11-10,376.27
224,2015-11-11,378.71
225,2015-11-12,372.56
226,2015-11-13,369.53
227,2015-11-16,370.64
228,2015-11-17,379.88
229,2015-11-18,379.33
230,2015-11-19,380.96
231,2015-11-20,381.79
232,2015-11-23,380.37
233,2015-11-24,375.64
234,2015-11-25,380.84
235,2015-11-26,384.37
236,2015-11-27,383.67
237,2015-11-30,385.43
238,2015-12-01,384.24
239,2015-12-02,384.17
240,2015-12-03,372.11
241,2015-12-04,370.59
242,2015-12-07,372.48
243,2015-12-08,365.75
244,2015-12-09,364.19
245,2015-12-10,363.21
246,2015-12-11,355.79
247,2015-12-14,349.54
248,2015-12-15,359.58
249,2015-12-16,360.43
250,2015-12-17,364.9
251,2015-12-18,361.23
252,2015-12-21,357.15
253,2015-12-22,356.87
254,2015-12-23,366.39
255,2015-12-24,366.28
256,2015-12-25,366.28
257,2015-12-28,364.49
258,2015-12-29,369.68
259,2015-12-30,367.7
260,2015-12-31,365.81
261,2016-01-01,365.81
262,2016-01-04,356.66
263,2016-01-05,358.88
264,2016-01-06,354.35
265,2016-01-07,346.51
266,2016-01-08,341.35
267,2016-01-11,340.23
